---------- Resumen de botones registrados ----------
Se han registrado 591 combinaciones distintas.

Botón 0: 07 80 80 80 80 0F 01 00 00 00 00 	 Dirección asignada: Neutral
Botón 1: 07 80 80 80 80 0F 00 00 00 00 00 	 Dirección asignada: Neutral
Botón 2: 07 80 80 80 80 0F 02 00 00 00 00 	 Dirección asignada: Neutral
Botón 3: 07 80 80 80 80 0F 10 00 00 00 00 	 Dirección asignada: Neutral
Botón 4: 07 80 80 80 80 0F 08 00 00 00 00 	 Dirección asignada: Neutral
Botón 5: 07 80 80 80 80 02 00 00 00 00 00 	 Dirección asignada: Neutral
Botón 6: 07 80 80 80 80 06 00 00 00 00 00 	 Dirección asignada: Neutral
Botón 7: 07 80 80 80 80 00 00 00 00 00 00 	 Dirección asignada: Neutral
Botón 8: 07 80 80 80 80 04 00 00 00 00 00 	 Dirección asignada: Neutral
Botón 9: 07 80 80 80 80 05 00 00 00 00 00 	 Dirección asignada: Neutral
Botón 10: 07 80 80 80 80 0F 00 08 00 00 00 	 Dirección asignada: Neutral
Botón 11: 07 80 80 80 80 0F 00 04 00 00 00 	 Dirección asignada: Neutral
Botón 12: 07 80 80 80 80 0F 80 00 00 00 00 	 Dirección asignada: Neutral
Botón 13: 07 80 80 80 80 0F 40 00 00 00 00 	 Dirección asignada: Neutral
Botón 14: 07 80 80 80 80 0F 00 00 04 00 00 	 Dirección asignada: Neutral
Botón 15: 07 80 80 80 80 0F 00 02 24 00 00 	 Dirección asignada: Neutral
Botón 16: 07 80 80 80 80 0F 00 02 55 00 00 	 Dirección asignada: Neutral
Botón 17: 07 80 80 80 80 0F 00 02 84 00 00 	 Dirección asignada: Neutral
Botón 18: 07 80 80 80 80 0F 00 02 DB 00 00 	 Dirección asignada: Neutral
Botón 19: 07 80 80 80 80 0F 00 02 FB 00 00 	 Dirección asignada: Neutral
Botón 20: 07 80 80 80 80 0F 00 02 FF 00 00 	 Dirección asignada: Neutral
Botón 21: 07 80 80 80 80 0F 00 02 F5 00 00 	 Dirección asignada: Neutral
Botón 22: 07 80 80 80 80 0F 00 02 B4 00 00 	 Dirección asignada: Neutral
Botón 23: 07 80 80 80 80 0F 00 02 87 00 00 	 Dirección asignada: Neutral
Botón 24: 07 80 80 80 80 0F 00 02 2A 00 00 	 Dirección asignada: Neutral
Botón 25: 07 80 80 80 80 0F 00 00 07 00 00 	 Dirección asignada: Neutral
Botón 26: 07 80 80 80 80 0F 00 01 00 0C 00 	 Dirección asignada: Neutral
Botón 27: 07 80 80 80 80 0F 00 01 00 3D 00 	 Dirección asignada: Neutral
Botón 28: 07 80 80 80 80 0F 00 01 00 6D 00 	 Dirección asignada: Neutral
Botón 29: 07 80 80 80 80 0F 00 01 00 9C 00 	 Dirección asignada: Neutral
Botón 30: 07 80 80 80 80 0F 00 01 00 C8 00 	 Dirección asignada: Neutral
Botón 31: 07 80 80 80 80 0F 00 01 00 ED 00 	 Dirección asignada: Neutral
Botón 32: 07 80 80 80 80 0F 00 01 00 FF 00 	 Dirección asignada: Neutral
Botón 33: 07 80 80 80 80 0F 00 01 00 F4 00 	 Dirección asignada: Neutral
Botón 34: 07 80 80 80 80 0F 00 01 00 DD 00 	 Dirección asignada: Neutral
Botón 35: 07 80 80 80 80 0F 00 01 00 BD 00 	 Dirección asignada: Neutral
Botón 36: 07 80 80 80 80 0F 00 01 00 98 00 	 Dirección asignada: Neutral
Botón 37: 07 80 80 80 80 0F 00 01 00 48 00 	 Dirección asignada: Neutral
Botón 38: 07 80 80 80 80 0F 00 01 00 26 00 	 Dirección asignada: Neutral
Botón 39: 07 81 80 80 80 0F 00 00 00 00 00 	 Dirección asignada: Neutral
Botón 40: 07 82 80 80 80 0F 00 00 00 00 00 	 Dirección asignada: Neutral
Botón 41: 07 81 81 80 80 0F 00 00 00 00 00 	 Dirección asignada: Neutral
Botón 42: 07 84 7E 80 80 0F 00 00 00 00 00 	 Dirección asignada: Neutral
Botón 43: 07 89 7C 80 80 0F 00 00 00 00 00 	 Dirección asignada: Neutral
Botón 44: 07 8E 79 80 80 0F 00 00 00 00 00 	 Dirección asignada: Neutral
Botón 45: 07 93 75 80 80 0F 00 00 00 00 00 	 Dirección asignada: Derecha
Botón 46: 07 9E 6C 80 80 0F 00 00 00 00 00 	 Dirección asignada: Derecha
Botón 47: 07 A4 66 80 80 0F 00 00 00 00 00 	 Dirección asignada: Derecha
Botón 48: 07 AA 60 80 80 0F 00 00 00 00 00 	 Dirección asignada: Derecha
Botón 49: 07 AF 5A 80 80 0F 00 00 00 00 00 	 Dirección asignada: Derecha
Botón 50: 07 B9 4A 80 80 0F 00 00 00 00 00 	 Dirección asignada: Derecha
Botón 51: 07 BD 41 80 80 0F 00 00 00 00 00 	 Dirección asignada: Arriba
Botón 52: 07 C0 37 80 80 0F 00 00 00 00 00 	 Dirección asignada: Arriba
Botón 53: 07 C3 1E 80 80 0F 00 00 00 00 00 	 Dirección asignada: Arriba
Botón 54: 07 C1 12 80 80 0F 00 00 00 00 00 	 Dirección asignada: Arriba
Botón 55: 07 BB 0F 80 80 0F 00 00 00 00 00 	 Dirección asignada: Arriba
Botón 56: 07 BB 0E 80 80 0F 00 00 00 00 00 	 Dirección asignada: Arriba
Botón 57: 07 BA 0E 80 80 0F 00 00 00 00 00 	 Dirección asignada: Arriba
Botón 58: 07 B7 0C 80 80 0F 00 00 00 00 00 	 Dirección asignada: Arriba
Botón 59: 07 B6 0C 80 80 0F 00 00 00 00 00 	 Dirección asignada: Arriba
Botón 60: 07 B3 0B 80 80 0F 00 00 00 00 00 	 Dirección asignada: Arriba
Botón 61: 07 B0 09 80 80 0F 00 00 00 00 00 	 Dirección asignada: Arriba
Botón 62: 07 AF 09 80 80 0F 00 00 00 00 00 	 Dirección asignada: Arriba
Botón 63: 07 AD 08 80 80 0F 00 00 00 00 00 	 Dirección asignada: Arriba
